회사,채용,지역,링크
휴먼교육센터학원,[전액무료] IT취업 자바/파이썬/인공지능/빅데이터 교육생 모집,경기  부천시 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35218738
통로이미지,[통로이미지 IT연구소] PHP웹개발자/Python 웹 개발자 경력채용,서울  중구,https://m.jobkorea.co.kr/Recruit/GI_Read/35187943
이컴라인,"[여의도] 금융, 은행, 파이썬, python",서울  영등포구,https://m.jobkorea.co.kr/Recruit/GI_Read/35377006
링크제니시스,"자동차 SW Test 자동화 개발자 (C, C++, Python)",인천  서구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35355790
오상자이엘 ㈜,"솔루션 기반 프로그래머(C#, Python, Oracle SQL) 모집",인천  부평구,https://m.jobkorea.co.kr/Recruit/GI_Read/35335939
㈜비타소프트,"인공지능 (딥러닝) 개발자, Python 능력자(신입과 경력 : 병역특례(보충역) 가능)",서울  구로구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35261169
㈜이지서티,"[신입/경력] R,PYTHON개발자 채용",서울  강남구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35238882
㈜핸디소프트,[개발자채용]정부과제 개발(빅데이터플랫폼/Python) 경력 모집,경기  안양시 동안구,https://m.jobkorea.co.kr/Recruit/GI_Read/34702587
㈜인피닉,[신입/경력] 어플리케이션 개발자 모집-Python / JAVA,서울  강남구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35356799
㈜인라이플,[업계위/주일근무] Python 개발 직무 경력직 인재채용,경기전지역 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35343107
㈜KB데이타시스템,백엔드 파이썬 개발자 경력사원 모집,서울  마포구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35224093
쌍용정보통신,"Java, Python, ASP, PHP 초급개발자 채용",서울  중구,https://m.jobkorea.co.kr/Recruit/GI_Read/35157147
㈜마이뮤직테이스트,신입/경력 Backend Engineer   Python 개발자 채용,서울  강남구,https://m.jobkorea.co.kr/Recruit/GI_Read/35156432
한국아이큐비아㈜,데이터분석가 모집 - 머신러닝/딥러닝/SAS/R/Python,서울  중구,https://m.jobkorea.co.kr/Recruit/GI_Read/35371164
유니윌부산지사,(네트워크/파이썬)네트워크 보안 취약점 분석 전문가 양성,부산  부산진구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35385661
유니윌부산지사,"자바빅데이터 실무 개발자, 네트워크파이썬 전문가",부산  부산진구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35385596
인텍솔루션㈜,[기흥] 대기업 화면관리 개발) Vuejs 또는 python 중급/고급 개발자 모집,경기  용인시 기흥구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35385271
그린컴퓨터아트학원,[수원그린컴퓨터아카데미] 파이썬 빅데이터 강사(신입가능)님을 모십니다,경기  수원시 팔달구 외,https://m.jobkorea.co.kr/Recruit/GI_Read/35380315
